,loss,tp,fp,tn,fn,accuracy,precision,recall,auc,val_loss,val_tp,val_fp,val_tn,val_fn,val_accuracy,val_precision,val_recall,val_auc
0,0.7007885026649372,1783.0,681.0,408.0,1265.0,0.529610812664032,0.7236201167106628,0.5849737524986267,0.49512138962745667,0.6916035786271095,0.0,0.0,236.0,651.0,0.266065388917923,0.0,0.0,0.5
1,0.68146026885132,2129.0,691.0,398.0,919.0,0.6108291149139404,0.7549645304679871,0.6984907984733582,0.5765048265457153,0.6427833304873535,509.0,111.0,125.0,142.0,0.7147688865661621,0.8209677338600159,0.7818740606307983,0.7209995985031128
2,0.5787934165718995,2181.0,311.0,778.0,867.0,0.7152525782585144,0.875200629234314,0.7155511975288391,0.7691459059715271,0.6118598734693868,343.0,35.0,201.0,308.0,0.6133032441139221,0.9074074029922485,0.5268816947937012,0.7624319195747375
3,0.5297678669192868,2216.0,236.0,853.0,832.0,0.7418419122695923,0.9037520289421082,0.7270340919494629,0.8079088926315308,0.5113948998706681,457.0,41.0,195.0,194.0,0.7350620031356812,0.9176706671714783,0.701996922492981,0.8274362683296204
4,0.526734546680568,2182.0,225.0,864.0,866.0,0.7362823486328125,0.9065226316452026,0.7158792614936829,0.8182832598686218,0.5281888379582337,493.0,60.0,176.0,158.0,0.7542277574539185,0.8915008902549744,0.7572964429855347,0.8217833638191223
5,0.4778159499557404,2256.0,187.0,902.0,792.0,0.7633550763130188,0.923454761505127,0.7401574850082397,0.850449800491333,0.4889679128038032,494.0,53.0,183.0,157.0,0.7632468938827515,0.9031078815460205,0.758832573890686,0.8436466455459595
6,0.456609407660896,2281.0,179.0,910.0,767.0,0.7713319063186646,0.9272357821464539,0.7483595609664917,0.8652769923210144,0.45509605907968115,424.0,17.0,219.0,227.0,0.7249154448509216,0.9614512324333191,0.6513056755065918,0.8906766176223755
7,0.4334024709940014,2338.0,166.0,923.0,710.0,0.7882523536682129,0.9337060451507568,0.7670603394508362,0.8873946666717529,0.38287043997219633,512.0,33.0,203.0,139.0,0.8060879111289978,0.9394495487213135,0.7864823341369629,0.9100796580314636
8,0.3755043658144468,2461.0,140.0,949.0,587.0,0.8242688179016113,0.9461745619773865,0.807414710521698,0.9126793742179871,0.40046960434743334,507.0,24.0,212.0,144.0,0.8105975389480591,0.9548022747039795,0.7788018584251404,0.9069260954856873
9,0.3804217852113585,2442.0,136.0,953.0,606.0,0.8206430077552795,0.9472459554672241,0.8011810779571533,0.9113614559173584,0.3635380403803928,512.0,21.0,215.0,139.0,0.8196166753768921,0.9606003761291504,0.7864823341369629,0.9197583794593811
10,0.35532488563166226,2484.0,124.0,965.0,564.0,0.8336958885192871,0.9524539709091187,0.8149606585502625,0.9215378165245056,0.32616569261465755,518.0,17.0,219.0,133.0,0.8308906555175781,0.968224287033081,0.7956989407539368,0.9327142834663391
11,0.34379777330648564,2555.0,132.0,957.0,493.0,0.8489243388175964,0.9508745670318604,0.8382545709609985,0.9267652034759521,0.33863157140357153,525.0,18.0,218.0,126.0,0.8376550078392029,0.9668508172035217,0.8064516186714172,0.9312563538551331
12,0.32419534423968227,2576.0,113.0,976.0,472.0,0.8585931658744812,0.9579769372940063,0.8451443314552307,0.9346582889556885,0.3241137685254216,537.0,27.0,209.0,114.0,0.8410372138023376,0.9521276354789734,0.8248847723007202,0.9324962496757507
13,0.3290285694986719,2572.0,128.0,961.0,476.0,0.8540005087852478,0.9525926113128662,0.8438320159912109,0.9323776960372925,0.38218181101339205,467.0,3.0,233.0,184.0,0.7891770005226135,0.9936169981956482,0.7173579335212708,0.9389792084693909
14,0.31722902670297354,2588.0,128.0,961.0,460.0,0.8578680157661438,0.9528718590736389,0.8490813374519348,0.9376782774925232,0.3679977346743856,495.0,11.0,225.0,156.0,0.8117249011993408,0.97826087474823,0.7603686451911926,0.9301010370254517
15,0.3115519694488695,2613.0,111.0,978.0,435.0,0.8680202960968018,0.9592511057853699,0.8572834730148315,0.9383266568183899,0.2846317872671144,539.0,17.0,219.0,112.0,0.8545659780502319,0.9694244861602783,0.8279569745063782,0.9505681991577148
16,0.3063984379507304,2603.0,112.0,977.0,445.0,0.8653613924980164,0.9587476849555969,0.8540025949478149,0.9418261647224426,0.27937156091710286,586.0,28.0,208.0,65.0,0.89515221118927,0.9543973803520203,0.900153636932373,0.9526476860046387
17,0.2936868360502466,2646.0,112.0,977.0,402.0,0.8757553696632385,0.9593908786773682,0.8681102395057678,0.9463587403297424,0.3127772504729884,568.0,27.0,209.0,83.0,0.8759864568710327,0.9546218514442444,0.8725038170814514,0.9400009512901306
18,0.2952310876055907,2638.0,121.0,968.0,410.0,0.8716461062431335,0.9561435580253601,0.8654855489730835,0.9448705911636353,0.31966099821563276,515.0,13.0,223.0,136.0,0.8320180177688599,0.9753788113594055,0.7910906076431274,0.9482021927833557
19,0.2855886583636788,2652.0,112.0,977.0,396.0,0.8772057294845581,0.959479033946991,0.8700787425041199,0.9489989876747131,0.26832983097327606,552.0,13.0,223.0,99.0,0.8737316727638245,0.9769911766052246,0.8479262590408325,0.9563317894935608
20,0.3025610453881646,2615.0,129.0,960.0,433.0,0.8641527891159058,0.95298832654953,0.8579396605491638,0.9431198835372925,0.289375813677907,533.0,10.0,226.0,118.0,0.8556933403015137,0.9815837740898132,0.8187404274940491,0.9487164616584778
21,0.2732178533541168,2656.0,93.0,996.0,392.0,0.8827652931213379,0.966169536113739,0.8713910579681396,0.9529233574867249,0.2856193317898682,555.0,20.0,216.0,96.0,0.869222104549408,0.9652174115180969,0.8525345325469971,0.951896071434021
