,loss,tp,fp,tn,fn,accuracy,precision,recall,auc,val_loss,val_tp,val_fp,val_tn,val_fn,val_accuracy,val_precision,val_recall,val_auc
0,0.6285106506012245,2246.0,478.0,611.0,802.0,0.6905970573425293,0.8245227336883545,0.7368766665458679,0.7160530090332031,0.5701304195182664,427.0,55.0,181.0,224.0,0.6854565739631653,0.8858920931816101,0.6559139490127563,0.7757296562194824
1,0.5428127647454767,2206.0,258.0,831.0,842.0,0.7341068387031555,0.8952922224998474,0.7237532734870911,0.7974401116371155,0.541368226387671,396.0,47.0,189.0,255.0,0.6595264673233032,0.8939051628112793,0.6082949042320251,0.8064028024673462
2,0.55684545658509,2141.0,243.0,846.0,907.0,0.7220208048820496,0.8980704545974731,0.7024278044700623,0.8014938235282898,0.5173890252730676,479.0,39.0,197.0,172.0,0.7621195316314697,0.9247104525566101,0.7357910871505737,0.8459769487380981
3,0.5475411578483388,2283.0,252.0,837.0,765.0,0.7541697025299072,0.9005917310714722,0.749015748500824,0.8139890432357788,0.5457542551947492,518.0,84.0,152.0,133.0,0.7553551197052002,0.8604651093482971,0.7956989407539368,0.8140376806259155
4,0.5235964747076886,2234.0,245.0,844.0,814.0,0.7440174221992493,0.9011698365211487,0.7329396605491638,0.8158121705055237,0.5535350585622447,286.0,7.0,229.0,365.0,0.5806087851524353,0.9761092066764832,0.43932411074638367,0.8249629139900208
5,0.502364411543094,2286.0,221.0,868.0,762.0,0.7623882293701172,0.9118468165397644,0.75,0.8410043120384216,0.4841174682868378,473.0,46.0,190.0,178.0,0.7474633455276489,0.9113680124282837,0.7265744805335999,0.8432821035385132
6,0.49090867986101616,2328.0,207.0,882.0,720.0,0.775924563407898,0.918343186378479,0.7637795209884644,0.8451668620109558,0.5276869295963219,439.0,35.0,201.0,212.0,0.7215332388877869,0.9261603355407715,0.6743471622467041,0.8329363465309143
7,0.46799270425812184,2311.0,189.0,900.0,737.0,0.7761663198471069,0.9243999719619751,0.758202075958252,0.8618177771568298,0.45172196679881643,483.0,35.0,201.0,168.0,0.7711386680603027,0.9324324131011963,0.7419354915618896,0.8702126741409302
8,0.44713697265874136,2374.0,182.0,907.0,674.0,0.7930867671966553,0.9287949800491333,0.7788714170455933,0.8748783469200134,0.44764240831136703,471.0,34.0,202.0,180.0,0.758737325668335,0.9326732754707336,0.7235022783279419,0.8843110203742981
9,0.4502822017292196,2349.0,192.0,897.0,699.0,0.7846265435218811,0.9244391918182373,0.7706692814826965,0.8714439272880554,0.42188750367079464,521.0,42.0,194.0,130.0,0.8060879111289978,0.925399661064148,0.8003072142601013,0.8847731351852417
10,0.39414940296735546,2439.0,140.0,949.0,609.0,0.8189509510993958,0.9457153677940369,0.8001968264579773,0.9008785486221313,0.39122852510107414,526.0,34.0,202.0,125.0,0.8207440972328186,0.9392856955528259,0.8079876899719238,0.9067145586013794
11,0.37019901516099235,2490.0,150.0,939.0,558.0,0.8288614749908447,0.9431818127632141,0.8169291615486145,0.9154062271118164,0.32587204926780294,535.0,23.0,213.0,116.0,0.8432919979095459,0.958781361579895,0.8218125700950623,0.9335344433784485
12,0.3649008050110711,2495.0,153.0,936.0,553.0,0.8293449282646179,0.9422205686569214,0.818569540977478,0.9167103171348572,0.3840949745582683,446.0,5.0,231.0,205.0,0.7632468938827515,0.9889135360717773,0.6850998401641846,0.9309699535369873
13,0.34487727743316626,2524.0,131.0,958.0,524.0,0.8416727185249329,0.9506591558456421,0.8280839920043945,0.9265272617340088,0.3490107235099588,530.0,27.0,209.0,121.0,0.8331454396247864,0.9515260457992554,0.8141320943832397,0.9262835383415222
14,0.33894547848186257,2571.0,127.0,962.0,477.0,0.8540005087852478,0.9529280662536621,0.8435039520263672,0.9282158613204956,0.3119248440489173,536.0,21.0,215.0,115.0,0.8466742038726807,0.9622980356216431,0.8233487010002136,0.9368507266044617
