,loss,tp,fp,tn,fn,accuracy,precision,recall,auc,val_loss,val_tp,val_fp,val_tn,val_fn,val_accuracy,val_precision,val_recall,val_auc
0,0.6582739629951802,1260.0,285.0,801.0,1791.0,0.4981870949268341,0.8155339956283569,0.4129793643951416,0.6106070280075073,0.6811531824725015,0.0,0.0,229.0,658.0,0.2581736147403717,0.0,0.0,0.6698643565177917
1,0.6172032262324019,1909.0,330.0,756.0,1142.0,0.6441866159439087,0.8526127934455872,0.6256964802742004,0.7257481813430786,0.5553009605833462,495.0,61.0,168.0,163.0,0.7474633455276489,0.8902877569198608,0.7522796392440796,0.8086100816726685
2,0.5434410846878833,2234.0,275.0,811.0,817.0,0.7360405921936035,0.8903945684432983,0.7322189211845398,0.8064289689064026,0.5528919686164174,275.0,5.0,224.0,383.0,0.5625704526901245,0.9821428656578064,0.4179331362247467,0.8425923585891724
3,0.5279517361499388,2172.0,234.0,852.0,879.0,0.7309644818305969,0.9027431607246399,0.7118977308273315,0.8152921199798584,0.49294163499559673,419.0,16.0,213.0,239.0,0.7125141024589539,0.9632183909416199,0.6367781162261963,0.8573983907699585
4,0.48683185611754937,2192.0,194.0,892.0,859.0,0.7454677224159241,0.9186923503875732,0.7184529900550842,0.8407532572746277,0.4215574293796505,544.0,46.0,183.0,114.0,0.8196166753768921,0.9220339059829712,0.826747715473175,0.8894062042236328
5,0.48138332392877214,2210.0,179.0,907.0,841.0,0.7534445524215698,0.9250732660293579,0.7243526577949524,0.8442189693450928,0.42084078144814285,469.0,15.0,214.0,189.0,0.7700112462043762,0.9690082669258118,0.7127659320831299,0.898816704750061
6,0.391883023747765,2423.0,127.0,959.0,628.0,0.8175005912780762,0.9501960873603821,0.794165849685669,0.900972843170166,0.4386818911880255,417.0,4.0,225.0,241.0,0.7237880229949951,0.9904988408088684,0.6337385773658752,0.9386953115463257
7,0.3693367091064036,2500.0,117.0,969.0,551.0,0.8385303616523743,0.9552923440933228,0.8194034695625305,0.913025438785553,0.3388289756008557,510.0,11.0,218.0,148.0,0.8207440972328186,0.9788867831230164,0.7750759720802307,0.9371058940887451
8,0.3524882823466563,2540.0,124.0,962.0,511.0,0.8465071320533752,0.9534534811973572,0.8325139284133911,0.9214204549789429,0.38904454638915403,625.0,72.0,157.0,33.0,0.8816234469413757,0.8967001438140869,0.9498479962348938,0.9453882575035095
9,0.3418341690225534,2557.0,118.0,968.0,494.0,0.852066695690155,0.9558878540992737,0.8380858898162842,0.9237328767776489,0.2908749196545354,567.0,19.0,210.0,91.0,0.8759864568710327,0.967576801776886,0.8617021441459656,0.94670569896698
10,0.3328886863320583,2556.0,110.0,976.0,495.0,0.8537587523460388,0.958739697933197,0.8377581238746643,0.9279460310935974,0.2879355946289642,593.0,31.0,198.0,65.0,0.8917700052261353,0.9503205418586731,0.9012157917022705,0.9455774426460266
11,0.3171190715279878,2612.0,101.0,985.0,439.0,0.8694706559181213,0.9627718329429626,0.8561127781867981,0.9338839054107666,0.3176151621155441,531.0,10.0,219.0,127.0,0.8455467820167542,0.9815157055854797,0.8069908618927002,0.9484377503395081
12,0.32343574346250054,2602.0,108.0,978.0,449.0,0.8653613924980164,0.9601476192474365,0.8528351187705994,0.9320855140686035,0.3192587793538613,520.0,9.0,220.0,138.0,0.8342728018760681,0.9829867482185364,0.7902735471725464,0.9463306665420532
13,0.3094993075916437,2599.0,104.0,982.0,452.0,0.8656030893325806,0.961524248123169,0.8518518805503845,0.9377952218055725,0.2982905117262687,583.0,28.0,201.0,75.0,0.883878231048584,0.9541735053062439,0.8860182166099548,0.9429294466972351
14,0.3002025339097786,2627.0,101.0,985.0,424.0,0.8730964660644531,0.9629765152931213,0.8610291481018066,0.9420371055603027,0.313286176550069,520.0,8.0,221.0,138.0,0.8354002237319946,0.9848484992980957,0.7902735471725464,0.9506577253341675
15,0.30890001504640807,2602.0,114.0,972.0,449.0,0.8639110326766968,0.9580265283584595,0.8528351187705994,0.9389008283615112,0.291668813675642,563.0,22.0,207.0,95.0,0.8680946826934814,0.9623931646347046,0.8556231260299683,0.9449269771575928
16,0.3066260277980014,2618.0,109.0,977.0,433.0,0.8689872026443481,0.9600293636322021,0.8580793142318726,0.9400511384010315,0.308826838553484,593.0,39.0,190.0,65.0,0.8827508687973022,0.9382911324501038,0.9012157917022705,0.9434636831283569
17,0.31068419398555785,2637.0,114.0,972.0,414.0,0.872371256351471,0.9585605263710022,0.8643068075180054,0.9378976821899414,0.29502812417091,597.0,36.0,193.0,61.0,0.8906426429748535,0.9431279897689819,0.9072948098182678,0.9489254951477051
18,0.2862605315124121,2649.0,95.0,991.0,402.0,0.8798646330833435,0.965378999710083,0.8682399392127991,0.9478245377540588,0.27471619761282845,570.0,21.0,208.0,88.0,0.8771138787269592,0.9644669890403748,0.8662614226341248,0.9560598134994507
19,0.289059276735117,2671.0,100.0,986.0,380.0,0.8839738965034485,0.9639119505882263,0.8754506707191467,0.9459214210510254,0.282117425929755,560.0,10.0,219.0,98.0,0.878241240978241,0.9824561476707458,0.8510638475418091,0.9531497359275818
